sentiment,review
positive,for a movie that gets no respect there sure are a lot of memorable quotes listed for this gem. imagine a movie where joe piscopo is actually funny! maureen stapleton is a scene stealer. the moroni character is an absolute scream. watch for alan the skipper hale jr. as a police sgt.
positive,"bizarre horror movie filled with famous faces but stolen by cristina raines later of tv s flamingo road as a pretty but somewhat unstable model with a gummy smile who is slated to pay for her attempted suicides by guarding the gateway to hell! the scenes with raines modeling are very well captured, the mood music is perfect, deborah raffin is charming as cristina s pal, but when raines moves into a creepy brooklyn heights brownstone inhabited by a blind priest on the top floor , things really start cooking. the neighbors, including a fantastically wicked burgess meredith and kinky couple sylvia miles beverly d angelo, are a diabolical lot, and eli wallach is great fun as a wily police detective. the movie is nearly a cross pollination of rosemary s baby and the exorcist but what a combination! based on the best seller by jeffrey konvitz, the sentinel is entertainingly spooky, full of shocks brought off well by director michael winner, who mounts a thoughtfully downbeat ending with skill. from"
positive,"a solid, if unremarkable film. matthau, as einstein, was wonderful. my favorite part, and the only thing that would make me go out of my way to see this again, was the wonderful scene with the physicists playing badmitton, i loved the sweaters and the conversation while they waited for robbins to retrieve the birdie."
positive,"it is a strange feeling to sit alone in a theater occupied by parents and their rollicking kids. i felt like instead of a movie ticket, i should have been given a nambla membership. based upon thomas rockwell s respected book, how to eat fried worms starts like any children s story moving to a new town. the new kid, fifth grader billy forrester was once popular, but has to start anew. making friends is never easy, especially when the only prospect is poindexter adam. or erica, who at feet, is a giant. further complicating things is joe the bully. his freckled face and sleeveless shirts are daunting. he antagonizes kids with the death ring a crackerjack ring that is rumored to kill you if you are punched with it. but not immediately. no, the death ring unleashes a poison that kills you in the eight grade. joe and his axis of evil welcome billy by smuggling a handful of slimy worms into his thermos. once discovered, billy plays it cool, swearing that he eats worms all the time. then he throws them at joe s face. ewww! to win them over, billy reluctantly bets that he can eat worms. fried, boiled, marinated in hot sauce, squashed and spread on a peanut butter sandwich. each meal is dubbed an exotic name like the radioactive slime delight, in which the kids finally live out their dream of microwaving a living organism. if you have ever met me, you will know that i have an uncontrollably hearty laugh. i felt like a creep erupting at a toddler whining that his dilly dick hurts. but fried worms is wonderfully disgusting. like a g rated farrelly brothers film, it is both vomitous and delightful. writer director bob dolman is also a savvy storyteller. to raise the stakes the worms must be consumed by pm. in addition billy holds a dark secret he has an ultra sensitive stomach. dolman also has a keen sense of perspective. with such accuracy, he draws on children s insecurities and tendency to exaggerate mundane dilemmas. if you were to hyperbolize this movie the way kids do their quandaries, you will see that it is essentially about war. freedom fighter and freedom hater use pubescent boys as pawns in proxy wars, only to learn a valuable lesson in unity. international leaders can learn a thing or two about global peacekeeping from fried worms. at the end of the film, i was comforted when two chaperoning mothers behind me, looked at each other with befuddlement and agreed, that was a great movie. great, now i will not have to register myself in any lawful databases."
positive,"you probably all already know this by now, but additional episodes never aired can be viewed on abc.com i have watched a lot of television over the years and this is possibly my favorite show, ever. it is a crime that this beautifully written and acted show was canceled. the actors that played laura, whit, carlos, mae, damian, anya and omg, steven caseman are all incredible and so natural in those roles. even the kids are great. wonderful show. so sad that it is gone. of course i wonder about the reasons it was canceled. there is no way i will let myself believe that ms. moynahan s pregnancy had anything to do with it. it was in the perfect time slot in this market. i have watched all the episodes again on abc.com i hope they all come out on dvd some day. thanks for reading."
positive,"i saw the movie with two grown children. although it was not as clever as shrek, i thought it was rather good. in a movie theatre surrounded by children who were on spring break, there was not a sound so i know the children all liked it. there parents also seemed engaged. the death and apparent death of characters brought about the appropriate gasps and comments. hopefully people realize this movie was made for kids. as such, it was successful although i liked it too. personally i liked the scrat!!"
positive,"you are using the imdb. you have given some hefty votes to some of your favourite films. it is something you enjoy doing. and it is all because of this. fifty seconds. one world ends, another begins. how can it not be given a ten? i wonder at those who give this a seven or an eight... exactly how could the first film ever made be better? for the record, the long, still opening shot is great showmanship, a superb innovation, perfectly suited to the situation. and the dog on the bike is a lovely touch. all this within fifty seconds. the word genius is often overused. this is genius."
positive,"this was a good film with a powerful message of love and redemption. i loved the transformation of the brother and the repercussions of the horrible disease on the family. well acted and well directed. if there were any flaws, i would have to say that the story showed the typical suburban family and their difficulties again. what about all people of all cultural backgrounds? i would love to see a movie where all of these cultures are shown like in real life. nevertheless, the film soared in terms of its values and its understanding of the how a disease can bring someone closer to his or her maker. loved the film and it brought tears to my eyes"
positive,"made after quartet was, trio continued the quality of the earlier film versions of the short stories by maugham. here the three stories are the verger, mr. know it all, and sanitorium. the first two are comic the verger is like a prolonged joke, but one with a good pay off , and the last more serious as health issues are involved . again the author introduces the film and the stories. james hayter, soon to have his signature role as samuel pickwick, is the hero in the verger. he holds this small custodial type job in a church, but the new vicar michael hordern is an intellectual snob. when he hears hayter has no schooling he fires him. hayter has saved some money, so he tells his wife kathleen harrison he fancies buying a small news and tobacco shop. he has a good eye, and his store thrives. soon he has a whole chain of stores. when his grandchild is christened by hordern, the latter is amazed to see how prosperous his ex verger. the payoff is when bank manager felix aylmer meets with hayter about diversifying his investments. i will leave it to you to hear the unintentional but ironic coda of the meeting. according to maugham he met a man like max kelada nigel patrick on a cruise. in mr. know it all kelada is a splashy, friendly, and slightly overbearing type from the middle east who is on a business trip regarding jewelry by steamship. his state room mate is mr. grey the ever quiet and proper wilfred hyde white who is somewhat, silently disapproving of max. max likes to enliven things, and soon is heavily involved in the ship s entertainment. at this point the story actually resembles part of the plot of the non maugham story and film china seas , as max makes a bet that he can tell a real piece of jewelry from a fake after insisting that a piece of jewelry he spotted is real . i will not describe the way max rises to the occasion. sanitorium is the longest segment. roland culver plays ashenden the fictional alter ego of maugham a writer and one time spy as in hitchcock s the secret agent . here he has to use a sanitorium for a couple of months for his health. he finds a remarkable crew of people, including jean simmons as a frail but beautiful young woman, finlay currie as an irascible scotsman, john laurie as a second irascible scotsman who is at war with currie, raymond huntley as a quiet patient who only shows his internal anger at his situation when his wife shows up, and michael rennie as a young man who has a serious life threatening illness. culver watches as three stories among these characters play out to their conclusions. the last, dealing with simmons and rennie, is ironic but deeply moving. it was a dandy follow up to the earlier quartet, and well worth watching."
positive,"for a mature man, to admit that he she would a tear over this film is a mature response, to a mature film. if one need admit more then perhaps one could say that, life can never be the same, after viewing such advent for it has moved us to the next level."
